date,close,prophet1,prophet2,prophet3,prophet4,prophet5
2015-10-12,15076.2,15254.01,15009.59,15331.36,14934.95,15169.78
2015-10-13,15056.88,15245.84,14966.32,15317.83,14904.87,15162.71
2015-10-14,15156.23,15327.54,15064.87,15381.79,15012.27,15330.16
2015-10-15,15390.37,15509.25,15276.51,15614.42,15241.99,15483.48
2015-10-16,15355.91,15503.28,15333.94,15592.12,15155.77,15437.57
2015-10-19,15321.53,15474.54,15245.33,15516.12,15157.61,15490.92
2015-10-20,15566.97,15741.28,15482.13,15794.44,15461.63,15728.76
2015-10-21,15688.46,15866.32,15580.88,15947.15,15510.89,15827.53
2015-10-22,15616.54,15749.78,15630.15,15870.84,15450.43,15740.05
2015-10-23,15703.07,15862.68,15590.85,15930.13,15529.03,15814.92
2015-10-26,15632.03,15802.65,15540.46,15873.32,15472.99,15765.9
2015-10-27,15560.95,15761.87,15496.09,15768.7,15387.2,15734.61
2015-10-28,15600.21,15778.19,15540.94,15856.16,15459.4,15732.46
2015-10-29,15306.1,15483.32,15258.9,15533.31,15159.08,15494.89
2015-10-30,15045.85,15198.84,15025.02,15263.24,14918.67,15139.2
2015-11-02,14962.99,15154.83,14903.32,15176.61,14781.91,15082.1
2015-11-03,14813.68,14973.96,14708.33,15034.03,14655.46,14921.14
2015-11-04,14861.79,14984.82,14779.85,15071.41,14706.47,14948.43
2015-11-05,14728.93,14917.56,14664.35,14969.25,14595.06,14842.25
2015-11-06,14523.83,14689.34,14511.28,14730.2,14355.55,14652.14
2015-11-09,14739.74,14874.07,14624.83,15007.79,14619.33,14873.11
2015-11-10,14707.97,14840.94,14669.8,14971.69,14595.79,14889.48
2015-11-11,14719.37,14875.3,14651.07,14913.92,14543.07,14850.8
2015-11-12,14512.6,14671.17,14464.35,14732.31,14353.22,14662.08
2015-11-13,14435.25,14585.3,14360.13,14632.99,14275.54,14552.64
2015-11-16,14452.72,14606.24,14356.1,14660.07,14384.28,14616.84
2015-11-17,14288.75,14480.22,14238.76,14560.31,14133.58,14471.6
2015-11-18,14343.97,14518.15,14291.02,14550.3,14248.66,14473.95
2015-11-19,14259.5,14407.53,14215.92,14483.66,14080.78,14345.26
2015-11-20,14219.38,14388.35,14147.91,14448.07,14049.05,14317.53
2015-11-23,14135.5,14247.66,14047.86,14319.24,13974.73,14256.55
2015-11-24,14401.2,14556.68,14284.3,14592.59,14232.83,14529.56
2015-11-25,14400.7,14596.82,14352.3,14581.98,14248.98,14536.02
2015-11-26,14250.61,14386.9,14191.44,14439.12,14087.9,14377.73
2015-11-27,14369.75,14489.09,14270.14,14503.39,14202.5,14484.91
2015-11-30,14196.8,14320.26,14110.53,14425.22,14087.73,14292.31
2015-12-01,14227.91,14339.18,14143.49,14499.78,14120.45,14353.15
2015-12-02,13953.2,14070.83,13842.05,14166.62,13840.16,14116.59
2015-12-03,13770.48,13897.98,13679.1,13938.03,13647.2,13908.73
2015-12-04,13798.99,13898.19,13698.7,13988.24,13663.56,13924.14
2015-12-07,13902.66,14042.12,13821.68,14098.44,13749.81,14042.51
2015-12-08,13927.9,14092.31,13837.68,14108.47,13762.07,14028.98
2015-12-09,13913.19,14027.06,13798.35,14145.82,13784.16,14010.35
2015-12-10,13872.75,14053.63,13859.5,14103.32,13701.46,13962.98
2015-12-11,13670.51,13821.18,13636.4,13843.98,13506.63,13776.45
2015-12-14,13573.82,13737.53,13484.8,13797.11,13469.38,13670.95
2015-12-15,13512.78,13630.13,13452.58,13756.74,13429.02,13653.54
2015-12-16,13657.75,13817.67,13600.87,13914.59,13531.92,13754.03
2015-12-17,13706.14,13813.27,13670.26,13990.27,13599.41,13793.78
2015-12-18,13467.96,13626.62,13378.57,13645.68,13326.65,13628.02
2015-12-21,13513.03,13652.8,13474.98,13792.05,13341.74,13608.93
2015-12-22,13462.44,13611.96,13380.37,13654.84,13344.29,13574.27
2015-12-23,13372.95,13475.24,13270.36,13557.7,13254.45,13492.01
2015-12-24,13456.35,13566.82,13408.55,13666.99,13323.71,13533.41
2015-12-25,13597.16,13749.37,13564.27,13785.29,13454.6,13739.53
2015-12-28,13725.75,13836.97,13728.16,13942.59,13614.91,13853.05
2015-12-29,13612.4,13761.14,13511.68,13780.65,13449.44,13763.73
2015-12-30,13571.73,13670.34,13522.85,13768.83,13415.01,13661.87
2015-12-31,13618.13,13777.41,13538.88,13857.42,13454.49,13729.77
2016-01-01,13753.01,13856.63,13705.79,13957.73,13617.81,13864.11
2016-01-04,13688.63,13840.64,13579.93,13897.84,13521.96,13805.36
2016-01-05,13664.61,13818.35,13561.77,13882.56,13509.26,13734.17
2016-01-06,13515.62,13631.94,13427.06,13749.99,13361.38,13626.74
2016-01-07,13356.24,13505.35,13291.57,13512.37,13215.72,13424.98
2016-01-08,13466.55,13608.23,13381.95,13684.29,13291.83,13583.93
2016-01-11,13651.8,13773.6,13601.53,13849.25,13517.66,13702.89
2016-01-12,13643.34,13752.25,13603.14,13852.53,13540.94,13701.96
2016-01-13,13782.32,13866.04,13729.93,14018.27,13648.23,13915.14
2016-01-14,13833.63,13981.64,13809.25,14008.1,13737.94,13929.17
2016-01-15,13746.05,13840.49,13688.75,13924.4,13645.27,13828.86
2016-01-18,13797.2,13937.8,13694.63,13950.75,13680.69,13942.65
2016-01-19,14012.45,14145.19,13980.59,14207.24,13874.42,14133.73
2016-01-20,14008.83,14167.94,13921.83,14256.24,13869.37,14145.33
2016-01-21,14231.16,14364.88,14185.92,14441.2,14110.59,14340.28
2016-01-22,13864.57,13994.08,13838.89,14035.38,13715.06,14049.79
2016-01-25,13980.39,14140.66,13923.26,14176.52,13787.95,14075.33
2016-01-26,13993.97,14143.28,13882.12,14162.23,13867.8,14154.74
2016-01-27,13953.58,14101.94,13858.19,14131.48,13782.48,14063.5
2016-01-28,13967.79,14120.57,13934.9,14188.17,13801.23,14033.31
2016-01-29,13694.28,13789.16,13621.17,13867.54,13557.34,13817.06
2016-02-01,13665.6,13822.93,13599.44,13900.99,13526.34,13783.52
2016-02-02,13715.86,13869.81,13668.09,13919.64,13539.96,13796.74
2016-02-03,13921.46,14032.37,13871.24,14132.66,13786.85,14007.15
2016-02-04,13850.88,13982.63,13789.35,14050.93,13739.13,13961.0
